Name,Realm,Character,Tier,Element,Type,Owned
Burning Spirit,VI,Locke,USB,Fire,PHY,False
Returners Unite,VI,Locke,USB,Fire,PHY,True
Burning Steel,VI,Locke,USB,Fire,PHY,False
Atomic Dive,VI,Locke,Chain,Fire,PHY MAG,True
Bond (Locke),VI,Locke,Chain4,ALL,PHY MAG,False
Blade of the Phoenix,VI,Locke,ASB,Fire,PHY,False
Heat of Passion,VI,Locke,GL,Fire,NA,True
Heat Slicer,VI,Locke,GL2,Fire,PHY,False
Heat Spirit,VI,Locke,GL2,Fire,NA,False
Adventure Awaits,VI,Locke,AW,Fire,PHY,True
Slash & Soar,VI,Locke,AW,Fire,PHY,False
Phoenix Heat,VI,Locke,Sync,Fire,PHY,True
Shredding Spin,VI,Locke,Sync,Fire,PHY,True
Fire Raiment (Locke),VI,Locke,GLB,Fire,NA,False
Apex Mirage Dive,VI,Locke,AD,Fire,PHY,False
Guardian Phoenix,VI,Locke,Guardian,Fire,PHY,False
Runic Blade,VI,Celes,Unique,NE,NA,False
Spinning Edge,VI,Celes,Unique,Wind,PHY,False
Indomitable Blade,VI,Celes,SSB,NE,PHY,True
Maria's Song,VI,Celes,BSB,Holy Fire Ice,PHY,True
Invincible Blade,VI,Celes,BSB,Holy Ice,PHY,True
Blade Unbound,VI,Celes,OSB,Holy Wind,PHY,True
Whetted Blade,VI,Celes,USB,Holy Ice Wind,PHY,True
Mystic Blade,VI,Celes,USB,Ice,PHY,False
More the Merrier,VI,Celes,Chain2,Ice,PHY,True
Glorious Blade,VI,Celes,ASB,Holy Ice Wind,PHY,True
Rune Knight's Ambition,VI,Celes,GL,NE,PHY,False
Rune Knight's Triumph,VI,Celes,GL,Ice,NA,True
Invincible Swordplay,VI,Celes,GL2,NE,NA,False
Rune Knight's Honor,VI,Celes,GL2,Ice,NA,True
Blade of Holy Binding,VI,Celes,GL2,Holy,NA,True
Twin Spin,VI,Celes,AW,Holy Ice,PHY,False
Unflinching Blade,VI,Celes,AW,Holy Ice,PHY,False
Proud Blade,VI,Celes,Sync,Holy,PHY,False
Mystical Snow,VI,Celes,Sync,Ice,PHY,False
Virtuous Blade,VI,Celes,Sync,Holy Ice,PHY,False
Awoken Blade,VI,Celes,OLB,Holy Ice,PHY,False
Apex Spinning Edge,VI,Celes,AD,Ice,PHY,False
Holy Runic Blade,VI,Celes,AD,Holy,PHY,True
Awoken Indomitable Blade,VI,Celes,DuAW,Holy,PHY,False
Sunbath,VI,Mog,Unique,NE,NA,False
Heroic Harmony,VI,Mog,Unique,NE,NA,True
Earth Blues,VI,Mog,SSB,Earth,MAG,False
Love Serenade,VI,Mog,BSB,NE,NA,True
Forest Nocturne,VI,Mog,USB,NE,NA,False
Twilight Requiem,VI,Mog,USB,NE,NA,False
Hopeful Reunion,VI,Mog,Chain2,ALL,PHY MAG,True
Guardian Symphony,VI,Mog,GL2,NE,NA,False
Memory Dance,VI,Mog,GL2,NE,NA,False
Dance as One,VI,Mog,AW,NE,NA,False
Wind Rhapsody,VI,Mog,AW,NE,NA,False
Snow Ensemble,VI,Mog,Sync,NE,NA,False
Bioblaster,VI,Edgar,Unique,Poison,PHY,False
Drill,VI,Edgar,Unique,NE,PHY,False
Chainsaw,VI,Edgar,SSB,Poison,PHY,False
Trifecta Drill,VI,Edgar,BSB,Poison Fire Lightning,PHY,True
Bio Chainsaw,VI,Edgar,BSB,Poison,PHY,False
Armageddon Blast,VI,Edgar,OSB,Poison,PHY,False
Royal Brotherhood,VI,Edgar,USB,Poison Fire Lightning,PHY,True
Proven Weaponry,VI,Edgar,USB,Poison Fire Lightning,PHY,False
Corteous Gesture,VI,Edgar,Chain3,ALL,PHY MAG,False
Bravo Figaro!,VI,Edgar,ASB,Poison Fire Lightning,PHY,False
Critical Call,VI,Edgar,GL,NE,PHY,False
King of Figaro,VI,Edgar,GL2,Poison Fire Lightning,NA,True
Trinity Down,VI,Edgar,GL2,Poison Fire Lightning,NA,False
Bravo Drill,VI,Edgar,AW,Poison Fire Lightning,PHY,True
Bravo Chainsaw,VI,Edgar,AW,Poison Fire Lightning,PHY,False
Trinity Boost,VI,Edgar,Sync,Poison Fire Lightning,PHY,False
Bio Boost,VI,Edgar,Sync,Poison,PHY,False
Royal Blast,VI,Edgar,OLB,Poison Fire Lightning,PHY,False
Poison Bond (Edgar),VI,Edgar,Chain4,Poison,PHY MAG,False
Royal Shock,VI,Edgar,AD,Poison Fire Lightning,PHY,True
Awoken Auto Crossbow,VI,Edgar,DuAW,Poison,PHY,False
Razor Gale,VI,Sabin,Unique,NE,PHY,False
Rising Phoenix,VI,Sabin,Unique,Fire,PHY,True
Soul Spiral,VI,Sabin,SSB,NE,NA,True
Phantom Rush,VI,Sabin,SSB,NE,PHY,False
Perdition's Phoenix,VI,Sabin,BSB,Fire,PHY,True
Scorching Meteor Strike,VI,Sabin,OSB,Fire,PHY,False
Explosive Fist,VI,Sabin,USB,Fire,PHY,False
Tiger Break,VI,Sabin,ASB,Fire,PHY,False
Invigorating Fist,VI,Sabin,GL,NE,PHY,True
Smoldering Fist,VI,Sabin,GL2,Fire,NA,True
Firewyrm Barrage,VI,Sabin,AW,Fire,PHY,False
Ironfire Dance,VI,Sabin,AW,Fire,PHY,False
Fiery Bond,VI,Sabin,Sync,Fire,PHY,False
Apex Tiger Break,VI,Sabin,AD,Fire,PHY,False
Awoken Raging Fist,VI,Sabin,DuAW,Fire,PHY,False
Wild Fang,VI,Shadow,Unique,NE,PHY,True
Shadow Fang,VI,Shadow,SSB,NE,PHY,True
Shuriken Storm,VI,Shadow,BSB,Dark,PHY,True
Abandoned Past,VI,Shadow,USB,Dark,PHY,True
Darkbound Blade,VI,Shadow,USB,Dark,PHY,True
Shape and Shadow,VI,Shadow,Chain3,Dark,PHY,False
Shadow Assassin,VI,Shadow,ASB,Dark,PHY,False
Wrapped in Darkness,VI,Shadow,GL,NE,PHY,True
Abyssal Cloak,VI,Shadow,GL,Dark,NA,True
Fleeting Shadow,VI,Shadow,GL2,NE,NA,False
Assassin Lord,VI,Shadow,AW,Dark,PHY,True
Davastating Carnage,VI,Shadow,Sync,Dark,PHY,False
Apex Shadow Fang,VI,Shadow,AD,Dark,PHY,False
Bushido Dragon,VI,Cyan,Unique,NE,PHY,True
Bushido Flurry,VI,Cyan,Unique,NE,PHY,False
Bushido Bloodmoon,VI,Cyan,SSB,NE,PHY,False
Bushido Sky,VI,Cyan,SSB,NE,PHY,False
Bushido Tempest,VI,Cyan,BSB,NE,PHY,False
Bushido Oblivion,VI,Cyan,USB,Fire,PHY,False
Crimson Bushido,VI,Cyan,USB,Fire,PHY,True
Tsubame Gaeshi,VI,Cyan,ASB,Fire,PHY,False
Doma's Valor,VI,Cyan,GL2,NE,PHY,True
Searing Stance,VI,Cyan,GL,Fire,NA,False
Doma Devout,VI,Cyan,GL2,Fire,PHY,False
Bushido Flash,VI,Cyan,AW,Fire,PHY,False
Bushido Domination,VI,Cyan,AW,Fire,PHY,False
Bushido Tiger,VI,Cyan,Sync,Fire,PHY,False
Apex Tsubame Gaeshi,VI,Cyan,AD,Fire,PHY,False
Awoken Bushido Sky,VI,Cyan,DuAW,Fire,PHY,False
Gigavolt Rage,VI,Gau,Unique,Lightning,PHY,False
Meteor Rage,VI,Gau,SSB,NE,PHY,False
Maul of the Wild,VI,Gau,BSB,Fire,PHY,False
Savory Treat,VI,Gau,USB,Lightning Wind,PHY,False
Feral Friends,VI,Gau,ASB,Lightning Wind,PHY,True
Explosive Thrust,VI,Gau,GL,Wind,PHY,False
Feral Rampage,VI,Gau,GL2,Lightning Wind,NA,False
Ready to Rampage,VI,Gau,GL2,NE,PHY,True
On the Rampage,VI,Gau,AW,Lightning Wind,PHY,False
Plunging Claws,VI,Gau,AW,Lightning Wind,PHY,False
X-Cutter Rage,VI,Gau,Sync,Lightning Wind,PHY,False
Apex Rage,VI,Gau,AD,Wind Lightning,PHY,False
Awoken On the Rampage,VI,Gau,DuAW,Wind Lightning,PHY,True
Dive Bomb,VI,Setzer,Unique,Fire,PHY,False
Prismatic Flash,VI,Setzer,Unique,NE,PHY,False
Fixed Dice,VI,Setzer,SSB,NE,PHY,False
Red Card,VI,Setzer,SSB,NE,PHY,False
Mostly Megaflare,VI,Setzer,BSB,NE,PHY,True
Chocobo Cheat,VI,Setzer,USB,Dark,PHY,True
Jokers Wild,VI,Setzer,USB,NE,PHY,True
Highest Stakes,VI,Setzer,USB,Dark,PHY,True
Hat-Trick,VI,Setzer,ASB,Dark,PHY,True
Dream Vault,VI,Setzer,GL2,Dark,NA,False
Peaceful Requiem,VI,Setzer,AW,Dark,PHY,False
Dealer Shuffle,VI,Setzer,Sync,Dark,PHY,False
Sabre Soul,VI,Strago,Unique,NE,MAG,False
Aqua Breath,VI,Strago,Unique,Water,MAG,False
Mighty Guard (VI),VI,Strago,SSB,NE,NA,False
Lore,VI,Strago,BSB,Water Wind Earth,MAG,False
Blue Soul,VI,Strago,OSB,Water Earth,MAG,True
El Nino Breath,VI,Strago,USB,Water,MAG,True
Twin Mage,VI,Strago,USB,Water Wind,MAG,False
Blue Field,VI,Strago,Chain2,Water,MAG,False
Aqua Splash,VI,Strago,ASB,Water,MAG,True
Blue Costume,VI,Strago,GL2,Water,NA,False
Exploit Weakness,VI,Strago,GL2,NE,MAG,False
Green Costume,VI,Strago,GL2,Wind,NA,False
Magic Tempest,VI,Strago,AW,Wind,MAG,False
Tidal Master,VI,Strago,AW,Water,MAG,False
Tidal Fall,VI,Strago,AW,Water,MAG,False
Tsunami,VI,Strago,Sync,Water,MAG,False
Bubble Tornado,VI,Strago,Sync,Water Wind,MAG,False
Jet Splash,VI,Strago,OLB,Water,MAG,False
Apex Lore,VI,Strago,AD,Water,MAG,False
Spiral Tempest,VI,Strago,AD,Wind,MAG,False
Awoken Twin Mage,VI,Strago,DuAW,Wind,MAG,False
Ink Blast,VI,Relm,Unique,NE,MAG,True
Brush Up,VI,Relm,Unique,NE,NA,True
Portrait of Lakshmi,VI,Relm,SSB,NE,NA,True
Star Prism,VI,Relm,BSB,Holy,MAG,True
Divine Portrait,VI,Relm,USB,NE,NA,True
Friendly Sketch,VI,Relm,USB,NE,NA,True
Dreamy Potion,VI,Relm,USB,NE,NA,False
Perfect Likeness,VI,Relm,GL,NE,NA,True
Cure Sketch,VI,Relm,GL,NE,NA,False
Thamasa Guard,VI,Relm,GL2,NE,NA,False
Milky Way,VI,Relm,AW,NE,NA,False
Rough Sketch,VI,Relm,AW,NE,NA,False
Galaxy Prism,VI,Relm,Sync,NE,NA,False
Maw of the Beast,VI,Gogo (VI),SSB,NE,PHY MAG,False
Punishing Meteor,VI,Gogo (VI),BSB,NE,PHY MAG,True
Righteous Mimicry,VI,Gogo (VI),USB,NE,PHY MAG,True
Imitation Suit,VI,Gogo (VI),GL2,Fire Ice Wind Earth,NA,True
Mass Mimicry,VI,Gogo (VI),AW,NE,MAG,True
Repeated Mimic,VI,Gogo (VI),AW,Fire Ice Wind Earth,MAG,False
True Punishing Meteor,VI,Gogo (VI),Sync,Fire Ice Wind Earth,PHY MAG,True
Green Cherry,VI,Umaro,SSB,Ice,PHY,True
Master's Voice,VI,Umaro,BSB,Ice,PHY,True
Snowball Throwdown,VI,Umaro,USB,Ice,PHY,False
Boss Bomber,VI,Umaro,ASB,Ice,PHY,True
Sinewy Power,VI,Umaro,GL,Ice,NA,True
Clobbering Blow,VI,Umaro,AW,Ice,PHY,False
Snowfall Strike,VI,Umaro,Sync,Ice,PHY,False
Havoc Wing,VI,Kefka,Unique,NE,MAG,False
Magic Infusion,VI,Kefka,Unique,NE,NA,False
Forsaken Null,VI,Kefka,SSB,NE,MAG,False
Symphony of Madness,VI,Kefka,BSB,Poison Dark,MAG,False
Harness the Fiend,VI,Kefka,BSB,Dark Poison,MAG,False
Ruin Beckons,VI,Kefka,OSB,Dark,MAG,False
Magitek Rampage,VI,Kefka,USB,Dark Poison,MAG,False
Magitek Triad,VI,Kefka,ASB,Dark Poison,MAG,False
Path to Madness,VI,Kefka,GL,Dark,NA,False
Scornful Laugh,VI,Kefka,GL2,Dark Poison,NA,False
Stroke of Destruction,VI,Kefka,AW,Dark Poison,MAG,False
Symphony of Destruction,VI,Kefka,AW,Poison,MAG,False
Rising Tone,VI,Kefka,Sync,Dark Poison,MAG,False
Catastrophe Zero,VI,Kefka,OLB,Dark Poison,MAG,False
Dark Raiment (Kefka),VI,Kefka,GLB,Dark,NA,False
Cruelest Angel,VI,Kefka,AD,Dark Poison,MAG,False
Shock,VI,Leo,SSB,Holy,PHY,True
Warrior's Warrior,VI,Leo,BSB,Holy Earth,PHY,True
Shock Imperial,VI,Leo,USB,Holy Earth,PHY,True
Second Rebellion,VI,Leo,USB,Earth Holy,PHY,False
Shocking Glory,VI,Leo,ASB,Earth Holy,PHY,True
General's Protection,VI,Leo,GL,Earth,NA,True
Height of Chivalry,VI,Leo,GL2,Earth,PHY,True
Indomitable Purpose,VI,Leo,GL2,NE,NA,True
General's Slash,VI,Leo,AW,Earth Holy,PHY,False
Fallen Warrior's Blade,VI,Leo,AW,Earth Holy,PHY,False
Shattering Highblade,VI,Leo,Sync,Earth Holy,PHY,True
Braver,VII,Cloud,Unique,NE,PHY,False
Cross Slash,VII,Cloud,Unique,NE,PHY,False
Climhazzard,VII,Cloud,Unique,Wind,PHY,True
Blade Beam,VII,Cloud,SSB,NE,PHY,True
Fenrir Overdrive,VII,Cloud,BSB,NE,PHY,True
Cloud Cycle,VII,Cloud,BSB,Wind,PHY,True
Sonic Blade (KH),VII,Cloud,BSB,Dark Wind,PHY,False
Finishing Touch,VII,Cloud,OSB,Wind,PHY,True
Cherry Blossom (FFT),VII,Cloud,OSB,Lightning Ice Fire,PHY,True
Ultra Cross Slash,VII,Cloud,USB,Wind Dark,PHY,True
Darkpetal Bloom,VII,Cloud,USB,Dark,PHY,True
Climirage,VII,Cloud,USB,Wind,PHY,False
Bond (Cloud),VII,Cloud,Chain4,ALL,PHY MAG,False
Sonic Braver,VII,Cloud,ASB,Wind,PHY,False
Eye of Darkness,VII,Cloud,ASB,Dark,PHY,True
Mako Abyss,VII,Cloud,GL,Dark,PHY,True
Mako Power,VII,Cloud,GL,Wind,PHY,False
Jenova Cell Power,VII,Cloud,GL2,Dark,NA,False
Aerial Fang,VII,Cloud,GL2,Wind,PHY,True
Triple Slash,VII,Cloud,GL2,Wind Dark,PHY,True
Truth and Illusion,VII,Cloud,GL2,Wind Dark,NA,False
Sephiroth Cell Quickening,VII,Cloud,AW,Dark,PHY,False
Angelic Synergy,VII,Cloud,AW,Wind,PHY,True
Dark Side Braver,VII,Cloud,AW,Wind Dark,PHY,False
Meteor Rain,VII,Cloud,Sync,Dark,PHY,True
Apex Slash,VII,Cloud,Sync,Wind,PHY,False
Mako Strike,VII,Cloud,Sync,Wind Dark,PHY,False
Omnislash,VII,Cloud,AD,Wind,PHY,False
Sonic Blade,VII,Cloud,OLB,Wind Dark,PHY,False
Guardian Choco-Mog,VII,Cloud,Guardian,Wind,PHY,False
Awoken Finishing Touch,VII,Cloud,DuAW,Wind,PHY,False
Grenade Bomb,VII,Barret,Unique,NE,PHY,False
Satellite Beam,VII,Barret,Unique,Lightning,PHY,False
Hammerblow,VII,Barret,Unique,NE,PHY,True
Hyper Grenade Bomb,VII,Barret,SSB,Fire,PHY,False
Ungarmax,VII,Barret,SSB,NE,PHY,False
Massive Hammerblow,VII,Barret,BSB,NE,PHY,True
Height of Anger,VII,Barret,USB,Fire Wind,PHY,False
I'm The Leader Here!,VII,Barret,Chain3,ALL,PHY MAG,False
Angry Mind,VII,Barret,GL,Fire,NA,False
Avenging Flames,VII,Barret,GL2,Fire,NA,False
AVALANCHE Scheme,VII,Barret,AW,Fire Wind,PHY,False
Uncontrolled Beam,VII,Barret,AW,Fire Wind,PHY,False
Rocket Hammerblow,VII,Barret,Sync,Fire,PHY,False
Volcanic Cannon,VII,Barret,OLB,Fire,PHY,False
Catastrophe,VII,Barret,AD,Fire,PHY,False
Awoken Ungarmax,VII,Barret,DuAW,Fire,PHY,False
Somersault,VII,Tifa,Unique,NE,PHY,False
Burning Arrow,VII,Tifa,Unique,NE,PHY,False
Waterkick,VII,Tifa,Unique,NE,PHY,True
Dolphin Blow,VII,Tifa,SSB,NE,PHY,True
Rolling Blaze,VII,Tifa,BSB,Earth,PHY,True
Meteor Crusher,VII,Tifa,BSB,Earth,PHY,False
Meteor Strike,VII,Tifa,OSB,Earth,PHY,False
Meteodrive,VII,Tifa,USB,Earth,PHY,True
Meteor Combo,VII,Tifa,USB,Earth,PHY,False
Platinum Strike,VII,Tifa,ASB,Earth,PHY,True
Zangan Awakening,VII,Tifa,GL,NE,PHY,True
Rock Render,VII,Tifa,GL,Earth,PHY,False
Eruption Garb,VII,Tifa,GL2,Earth,NA,True
Rockcrusher Grasp,VII,Tifa,GL2,Earth,NA,False
Meteor Arts,VII,Tifa,AW,Earth,PHY,False
Chain Somersault,VII,Tifa,AW,Earth,PHY,False
Zangan's Infinitude,VII,Tifa,Sync,Earth,PHY,True
Limit Combo,VII,Tifa,Sync,Earth,PHY,True
Crushing Palm,VII,Tifa,OLB,Earth,PHY,False
Final Heaven,VII,Tifa,AD,Earth,PHY,True
Awoken Meteor Arts,VII,Tifa,DuAW,Earth,PHY,True
Healing Wind,VII,Aerith,Unique,NE,NA,False
Planet Protector,VII,Aerith,Unique,NE,NA,False
Fury Brand,VII,Aerith,Unique,NE,NA,False
Dargon Force,VII,Aerith,Unique,NE,NA,False
Pulse of Life,VII,Aerith,SSB,NE,NA,False
White Materia,VII,Aerith,BSB,Holy,MAG,True
Prayer of Salvation,VII,Aerith,BSB,NE,NA,True
Hidden Bloom,VII,Aerith,USB,NE,NA,False
Innocent Cure,VII,Aerith,USB,NE,NA,True
Star Whisper,VII,Aerith,GL2,NE,NA,False
Refreshing Breeze,VII,Aerith,GL2,NE,NA,True
Star Pulse,VII,Aerith,AW,NE,NA,True
Planetary Pulse,VII,Aerith,AW,NE,NA,False
Blue-Eyed Sentinel,VII,Aerith,Sync,NE,NA,False
Lunatic High,VII,Red XIII,Unique,NE,NA,False
Trine,VII,Red XIII,Unique,Lightning,MAG,False
Howling Moon,VII,Red XIII,Unique,NE,NA,True
Stardust Ray,VII,Red XIII,SSB,NE,PHY,True
Protector's Roar,VII,Red XIII,SSB,NE,NA,True
Cosmo Canyon,VII,Red XIII,BSB,NE,PHY,True
Earth Rave,VII,Red XIII,USB,Earth,MAG,True
Mighty Warrior,VII,Red XIII,USB,NE,NA,False
Howling Earth,VII,Red XIII,Chain2,Earth,MAG,True
Stardust Shot,VII,Red XIII,ASB,Earth,MAG,False
Expanding Earth,VII,Red XIII,GL2,Earth,NA,False
Lunatic Roar,VII,Red XIII,AW,Earth,MAG,False
Soaring Comet,VII,Red XIII,Sync,Earth,MAG,False
Comet Soar,VII,Red XIII,OLB,Earth,MAG,False
Landscaper,VII,Yuffie,Unique,Earth,PHY,False
Clear Tranquil,VII,Yuffie,Unique,NE,NA,False
Bloodfest,VII,Yuffie,Unique,NE,PHY,False
Gauntlet,VII,Yuffie,SSB,NE,PHY,True
Doom of the Living,VII,Yuffie,BSB,Water,PHY,True
Guardian of Wutai,VII,Yuffie,BSB,Water,PHY,True
Clearest Tranquil,VII,Yuffie,USB,Water,PHY,True
Landscaper (KH),VII,Yuffie,USB,Earth,PHY,False
Freewheeling Gauntlet,VII,Yuffie,USB,Water,PHY,False
Improvised Camouflage,VII,Yuffie,USB,Water Earth,PHY,False
Smoke Shell,VII,Yuffie,Chain3,Water,PHY,True
Freewheeling Bloodfest,VII,Yuffie,ASB,Water,PHY,True
Freewheeling Earthrite,VII,Yuffie,ASB,Earth,PHY,True
Freewheeling Reflection,VII,Yuffie,GL,NE,NA,False
Stillwater Crag,VII,Yuffie,GL,Water Earth,NA,True
Ebb and Flow,VII,Yuffie,GL2,Water,NA,False
Earth Veil Slam,VII,Yuffie,GL2,Earth,NA,False
Sublime Doom,VII,Yuffie,AW,Water Earth,PHY,False
Sublime Landscaper,VII,Yuffie,AW,Earth,PHY,True
Moonless Shower,VII,Yuffie,Sync,Water,PHY,False
Dominate Mind,VII,Yuffie,Sync,Earth,PHY,False
Soaring Kunai,VII,Yuffie,OLB,Water Earth,PHY,False
All Creation,VII,Yuffie,AD,Water,PHY,False
Awoken Gauntlet,VII,Yuffie,DuAW,Water,PHY,False
Toy Soldier,VII,Cait Sith,Unique,NE,MAG,True
Moogle Dance,VII,Cait Sith,SSB,NE,NA,False
Battle Trumpet,VII,Cait Sith,SSB,NE,MAG,False
Lucky Girl,VII,Cait Sith,BSB,NE,MAG,True
Danger Dice,VII,Cait Sith,USB,NE,NA,True
Random Summon?,VII,Cait Sith,USB,NE,NA,False
Planetary Protector,VII,Cait Sith,GL2,NE,NA,False
Hit the Jackpot,VII,Cait Sith,AW,NE,NA,True
Miraculous Luck,VII,Cait Sith,Sync,NE,NA,False
Chain Shot,VII,Vincent,Unique,NE,PHY,True
Cerberus Shell,VII,Vincent,SSB,NE,MAG,False
Bestial Roar,VII,Vincent,SSB,Fire,MAG,True
Galian Beast,VII,Vincent,BSB,Fire,PHY MAG,False
Flame Penalty,VII,Vincent,BSB,Fire,PHY MAG,False
Lucrecia's Lament,VII,Vincent,USB,Fire,PHY MAG,True
Dirge of Cerberus,VII,Vincent,USB,Fire,PHY MAG,False
Marksman's Spite,VII,Vincent,USB,Fire,PHY MAG,False
Cerberus Soul,VII,Vincent,Chain2,Fire,MAG,False
Forsaken Power,VII,Vincent,GL,Fire,PHY MAG,True
Munitions Reload,VII,Vincent,GL2,NE,NA,False
Chthonian Blaze,VII,Vincent,AW,Fire,PHY MAG,True
Galian Saber,VII,Vincent,AW,Fire,PHY MAG,False
Bestial Claws,VII,Vincent,Sync,Fire,PHY MAG,False
Chaos Saber,VII,Vincent,Sync,Fire,PHY MAG,False
Galian Scratch,VII,Vincent,OLB,Fire,PHY MAG,False
Satan Slam,VII,Vincent,AD,Fire,PHY MAG,False
Air Strike,VII,Zack,Unique,NE,PHY,False
Rush Assault,VII,Zack,Unique,NE,PHY,True
Apocalypse,VII,Zack,SSB,NE,PHY,True
Meteor Shots,VII,Zack,BSB,Wind Earth,PHY,True
Climhazzard Xeno,VII,Zack,USB,Wind,PHY,True
Lazy Mirage,VII,Zack,USB,Wind,PHY,True
Lucky Stars,VII,Zack,Chain,Wind,PHY,True
Sonic Braver Xeno,VII,Zack,ASB,Wind,PHY,False
Storm Squat,VII,Zack,GL,Wind,NA,True
Air Blast,VII,Zack,GL2,Wind,PHY,False
Sonic Squat,VII,Zack,GL2,Wind,NA,True
Heroic Dream,VII,Zack,GL2,NE,NA,True
Proud Heritage,VII,Zack,AW,Wind,PHY,True
Road to Heroism,VII,Zack,AW,Wind Dark,PHY,False
Come Get It!,VII,Zack,Sync,Wind,PHY,False
Costly Punch,VII,Zack,AD,Wind,PHY,False
Awoken Proud Heritage,VII,Zack,DuAW,Wind,PHY,False
Shadow Flare,VII,Sephiroth,Unique,NE,PHY,True
Hell's Gate,VII,Sephiroth,Unique,NE,PHY,True
Nibelheim Nightmare,VII,Sephiroth,Unique,Fire,PHY,False
Black Materia,VII,Sephiroth,SSB,NE,PHY,False
Transience,VII,Sephiroth,SSB,Dark,PHY,False
Reunion,VII,Sephiroth,BSB,Fire,PHY,False
Octaslash,VII,Sephiroth,BSB,Dark,PHY,True
Heaven's Light,VII,Sephiroth,OSB,Dark Fire,PHY,False
Heartless Angel,VII,Sephiroth,USB,Dark,PHY,False
Zanshin,VII,Sephiroth,USB,Dark,PHY,False
Crimson Lotus,VII,Sephiroth,USB,Fire,PHY,False
Purgatorial Flames,VII,Sephiroth,ASB,Fire,PHY,False
Setting Sun,VII,Sephiroth,ASB,Dark,PHY,True
Jenova's Might,VII,Sephiroth,GL,Dark,NA,True
Fervent Shadow,VII,Sephiroth,GL2,Dark,NA,False
Shimmer Flash,VII,Sephiroth,GL2,NE,NA,True
Stigma,VII,Sephiroth,AW,Dark,PHY,False
Underworld Guardian,VII,Sephiroth,AW,Fire,PHY,False
Flames of Nibelheim,VII,Sephiroth,AW,Dark Fire,PHY,False
Demonic Lord,VII,Sephiroth,Sync,Dark,PHY,False
Crimson Octaslash,VII,Sephiroth,Sync,Fire,PHY,False
Dark Illumination,VII,Sephiroth,OLB,Dark,PHY,False
Jenova,VII,Sephiroth,AD,Fire,PHY,False
Sunburst,VII,Sephiroth,AD,Dark,PHY,True
Dynamite,VII,Cid (VII),Unique,NE,PHY,True
Hyper Jump,VII,Cid (VII),Unique,NE,PHY,True
Dragon,VII,Cid (VII),Unique,Wind,PHY,False
Pilot's Steel,VII,Cid (VII),SSB,NE,NA,True
Big Brawl,VII,Cid (VII),SSB,Wind,PHY,True
Dragon Dive,VII,Cid (VII),BSB,Wind,PHY,True
Dynamite Boost,VII,Cid (VII),USB,Wind,PHY,False
Cid in Charge,VII,Cid (VII),Chain2,ALL,PHY MAG,True
Smokig Dive,VII,Cid (VII),ASB,Wind,PHY,False
Cleared for Takeoff!,VII,Cid (VII),GL,Wind,NA,False
Rocket Jump,VII,Cid (VII),GL2,Wind,PHY,False
Dreams of Space,VII,Cid (VII),AW,Wind,PHY,False
Dynamite Gale,VII,Cid (VII),AW,Wind,PHY,False
True Hyper Jump,VII,Cid (VII),Sync,Wind,PHY,False
Awoken Dragon Dive,VII,Cid (VII),DuAW,Wind,PHY,False
Turk Light,VII,Reno,Unique,Lightning,MAG,True
Pyramid,VII,Reno,Unique,NE,MAG,False
Turk Bombshell,VII,Reno,SSB,NE,MAG,False
Turk Triad,VII,Reno,BSB,Lightning,PHY,True
Turk Special,VII,Reno,USB,Lightning,PHY MAG,True
Pyramid Pinnacle,VII,Reno,USB,Lightning,PHY MAG,False
Chain of Thunder,VII,Reno,Chain,Lightning,PHY MAG,True
Overpowered Rod,VII,Reno,ASB,Lightning,PHY MAG,True
Electro Rod Charge,VII,Reno,GL2,Lightning,NA,False
Stun Pyramid,VII,Reno,GL2,NE,NA,False
Electro Rod Mark II,VII,Reno,AW,Lightning,PHY MAG,True
Plasma Light,VII,Reno,AW,Lightning,PHY MAG,False
Our Day Off,VII,Reno,Sync,Lightning,PHY MAG,False
Pyramid Tetra,VII,Reno,OLB,Lightning,PHY MAG,False
Awoken Turk Light,VII,Reno,DuAW,Lightning,PHY MAG,False
Winds of Pride,VII,Angeal,SSB,Holy,PHY,False
Unleashed Wrath,VII,Angeal,BSB,Holy Wind,PHY,False
Idle Rage,VII,Angeal,USB,Holy Wind,PHY,False
Wings of Atonement,VII,Angeal,ASB,Holy Wind,PHY,False
Blade Invocation,VII,Angeal,GL,Holy Wind,PHY,False
Envious Thunder,VII,Angeal,GL,NE,NA,False
You Owe Me One,VII,Angeal,GL2,Holy Wind,PHY,False
Warrior's Dignity,VII,Angeal,GL2,Holy Wind,NA,False
Pride and Ambition,VII,Angeal,AW,Holy Wind,PHY,True
Burden of Pride,VII,Angeal,AW,Holy Wind,PHY,True
White-Winged SOLDIER,VII,Angeal,Sync,Holy Wind,PHY,False
True Unleashed Wrath,VII,Angeal,OLB,Holy Wind,PHY,True
Succession,VII,Angeal,AD,Wind Holy,PHY,True
Awoken Pride and Ambition,VII,Angeal,DuAW,Wind Holy,PHY,False
Mako Barrage,VII,Rufus,SSB,Dark,PHY,True
President's Scorn,VII,Rufus,BSB,Dark,PHY,False
Mako Cannon,VII,Rufus,USB,Dark,PHY,False
Reign of Terror,VII,Rufus,GL,Dark,PHY,False
Ambitious Vice,VII,Rufus,GL2,Dark,NA,False
Recreant Son,VII,Rufus,AW,Dark,PHY,True
Presidential Power,VII,Rufus,Sync,Dark,PHY,False
